egg_id,hatch_date,status
F152_15,07/04/2025,killed
F165_4,04/04/2025,dead
F153_16,09/04/2025,killed
F153_2,09/04/2025,killed
F145_1,08/04/2025,killed
F145_10,09/04/2025,killed
F145_16,05/04/2025,killed
F21_5,04/04/2025,killed
F21_6,04/04/2025,killed
F153_9,04/04/2025,killed
F27_5,04/04/2025,killed
F154_1,10/04/2025,killed
F154_12,09/04/2025,killed
F154_18,10/04/2025,killed
F157_1,04/04/2025,killed
F37_7,04/04/2025,dead
F157_5,09/04/2025,killed
F157_7,11/04/2025,killed
F15_5,06/04/2025,killed
F158_15,11/04/2025,killed
F158_17,04/04/2025,killed
F158_18,04/04/2025,killed
F51_1,04/04/2025,missing?
F158_5,11/04/2025,killed
F158_8,04/04/2025,killed
F159_4,04/04/2025,killed
F159_7,04/04/2025,killed
F160_9,04/04/2025,killed
F161_8,04/04/2025,killed
F164_5,07/04/2025,killed
F68_11,04/04/2025,dead
F164_9,07/04/2025,killed
F69_2,04/04/2025,dead
F69_7,04/04/2025,missing
F165_5,04/04/2025,killed
F167_3,04/04/2025,killed
F167_7,07/04/2025,killed
F17_3,01/04/2025,killed
F170_13,10/04/2025,killed
F170_14,09/04/2025,killed
F170_15,11/04/2025,killed
F76_3,04/04/2025,missing
F153_17,06/04/2025,killed
F76_7,04/04/2025,dead
F170_18,10/04/2025,killed
F153_19,06/04/2025,killed
F175_15,10/04/2025,killed
F175_6,11/04/2025,killed
F76_1,NA,missing
F69_15,NA,missing
F101_4,NA,missing
F51_19,NA,missing
F37_3,NA,missing
F138_15,NA,missing
F117_10,NA,missing
F79_11,NA,missing
F153_20,06/04/2025,killed
F153_7,04/04/2025,killed
F101_11,05/04/2025,killed
F101_14,05/04/2025,killed
F116_8,07/04/2025,killed
F101_5,05/04/2025,killed
F117_3,05/04/2025,killed
F121_12,05/04/2025,killed
F121_6,05/04/2025,killed
F103_13,08/04/2025,killed
F103_15,06/04/2025,killed
F123_15,07/04/2025,killed
F107_2,06/04/2025,dead
F107_8,05/04/2025,killed
F110_4,06/04/2025,dead
F114_10,05/04/2025,killed
F114_11,05/04/2025,missing
F123_17,05/04/2025,killed
F123_18,07/04/2025,killed
F114_19,08/04/2025,killed
F154_4,07/04/2025,killed
F124_14,05/04/2025,killed
F125_7,05/04/2025,killed
F154_7,09/04/2025,killed
F157_18,08/04/2025,killed
F125_8,05/04/2025,killed
F121_9,05/04/2025,killed
F123_13,08/04/2025,killed
F123_16,08/04/2025,killed
F126_7,07/04/2025,killed
F123_19,06/04/2025,missing
F123_7,08/04/2025,killed
F124_11,05/04/2025,killed
F124_12,08/04/2025,dead
F133_8,05/04/2025,killed
F124_15,06/04/2025,missing
F157_9,30/03/2025,killed
F125_11,08/04/2025,killed
F125_3,08/04/2025,killed
F125_15,08/04/2025,killed
F158_11,09/04/2025,killed
F125_4,08/04/2025,killed
F158_13,08/04/2025,killed
F135_16,05/04/2025,killed
F135_20,05/04/2025,killed
F159_9,06/04/2025,killed
F126_17,06/04/2025,dead
F126_3,06/04/2025,
F126_5,05/04/2025,killed
F126_6,08/04/2025,killed
F125_17,06/04/2025,killed
F126_9,05/04/2025,killed
F136_7,05/04/2025,killed
F136_3,03/04/2025,killed
F138_11,05/04/2025,killed
F160_3,06/04/2025,killed
F138_14,05/04/2025,killed
F136_2,06/04/2025,killed
F160_6,30/03/2025,killed
F136_10,05/04/2025,killed
F136_8,05/04/2025,dead
F138_16,07/04/2025,killed
F138_17,07/04/2025,killed
F138_2,05/04/2025,killed
F138_7,05/04/2025,killed
F138_20,07/04/2025,killed
F138_8,05/04/2025,killed
F139_10,08/04/2025,killed
F161_2,03/04/2025,killed
F139_15,06/04/2025,
F139_17,05/04/2025,killed
F139_18,05/04/2025,dead
F139_19,08/04/2025,killed
F138_9,05/04/2025,killed
F139_20,08/04/2025,killed
F144_11,05/04/2025,dead
F161_4,06/04/2025,killed
F139_2,05/04/2025,killed
F145_20,08/04/2025,killed
F139_3,07/04/2025,killed
F145_2,05/04/2025,killed
F145_6,03/04/2025,killed
F161_5,04/04/2025,killed
F15_6,08/04/2025,killed
F152_2,06/04/2025,killed
F152_20,06/04/2025,killed
F153_11,05/04/2025,killed
F153_12,05/04/2025,killed
F153_15,05/04/2025,killed
F164_1,06/04/2025,killed
F167_5,04/04/2025,killed
F170_1,07/04/2025,killed
F153_3,08/04/2025,killed
F153_4,08/04/2025,killed
F153_5,05/04/2025,killed
F145_8,05/04/2025,killed
F154_11,06/04/2025,killed
F154_14,08/04/2025,killed
F154_6,06/04/2025,killed
F157_11,08/04/2025,killed
F157_14,05/04/2025,killed
F98_3,NA,missing
F157_15,05/04/2025,dead
F157_17,08/04/2025,killed
F170_4,06/04/2025,killed
F148_20,05/04/2025,killed
F15_13,05/04/2025,killed
F175_10,11/04/2025,killed
F153_13,07/04/2025,killed
F153_14,07/04/2025,killed
F158_4,05/04/2025,killed
F158_9,08/04/2025,killed
F175_14,09/04/2025,killed
F160_10,08/04/2025,killed
F175_8,04/04/2025,killed
F160_5,08/04/2025,killed
F160_7,05/04/2025,killed
F161_1,05/04/2025,killed
F176_4,06/04/2025,killed
F161_6,06/04/2025,missing
F180_2,08/04/2025,killed
F164_7,05/04/2025,killed
F165_2,08/04/2025,killed
F167_1,08/04/2025,killed
F167_4,06/04/2025,killed
F167_8,05/04/2025,killed
F153_6,07/04/2025,killed
F180_4,09/04/2025,killed
F170_5,08/04/2025,killed
F170_9,08/04/2025,killed
F175_11,08/04/2025,dead
F175_13,08/04/2025,killed
F175_16,05/04/2025,dead
F175_17,08/04/2025,killed
F176_10,08/04/2025,killed
F176_13,05/04/2025,killed
F153_8,05/04/2025,killed
F180_6,08/04/2025,killed
F157_6,07/04/2025,killed
F176_6,06/04/2025,killed
F176_7,05/04/2025,dead
F19_4,04/04/2025,killed
F19_17,06/04/2025,killed
F180_7,08/04/2025,missing
F188_10,08/04/2025,killed
F188_3,08/04/2025,killed
F188_9,08/04/2025,killed
F19_2,05/04/2025,killed
F157_8,05/04/2025,killed
F19_7,05/04/2025,killed
F20_2,26/03/2025,killed
F19_8,05/04/2025,killed
F21_1,06/04/2025,missing
F21_2,05/04/2025,killed
F25_13,05/04/2025,killed
F20_4,30/03/2025,killed
F37_15,06/04/2025,dead
F39_1,05/04/2025,dead
F39_4,08/04/2025,killed
F23_1,06/04/2025,killed
F39_8,08/04/2025,killed
F175_7,10/04/2025,killed
F158_12,05/04/2025,killed
F158_14,05/04/2025,killed
F158_16,07/04/2025,killed
F158_19,05/04/2025,killed
F176_2,07/04/2025,killed
F180_9,11/04/2025,killed
F188_11,10/04/2025,killed
F188_4,07/04/2025,killed
F159_3,07/04/2025,killed
F188_5,07/04/2025,killed
F188_8,10/04/2025,killed
F161_7,03/04/2025,killed
F25_11,30/03/2025,killed
F19_1,01/04/2025,killed
F19_10,01/04/2025,killed
F164_2,03/04/2025,killed
F164_6,07/04/2025,killed
F165_7,07/04/2025,killed
F124_10,NA,missing
F21_13,01/04/2025,killed
F21_3,01/04/2025,killed
F167_9,05/04/2025,killed
F21_9,04/04/2025,killed
F95_17,07/04/2025,dead
F25_15,01/04/2025,killed
F176_14,07/04/2025,killed
F25_18,01/04/2025,killed
F67_7,07/04/2025,dead
F27_6,01/04/2025,killed
F176_18,05/04/2025,killed
F37_12,04/04/2025,killed
F37_14,04/04/2025,killed
F37_17,04/04/2025,killed
F176_3,03/04/2025,killed
F176_5,05/04/2025,killed
F19_16,03/04/2025,killed
F37_4,04/04/2025,killed
F19_3,05/04/2025,killed
F39_12,04/04/2025,killed
F21_12,03/04/2025,killed
F39_5,01/04/2025,killed
F39_14,03/04/2025,killed
F158_3,07/04/2025,dead
F43_8,03/04/2025,killed
F39_9,04/04/2025,killed
F25_5,05/04/2025,killed
F49_1,05/04/2025,killed
F43_10,01/04/2025,killed
F43_12,10/04/2025,killed
F49_11,05/04/2025,killed
F43_17,01/04/2025,killed
F70_8,07/04/2025,dead
F49_13,03/04/2025,killed
F50_18,07/04/2025,killed
F51_14,03/04/2025,killed
F167_2,07/04/2025,dead
F51_17,03/04/2025,killed
F43_20,07/04/2025,killed
F51_3,07/04/2025,killed
F52_16,03/04/2025,killed
F52_17,03/04/2025,killed
F98_4,04/04/2025,killed
F19_11,NA,missing
F43_7,08/04/2025,dead
F44_13,05/04/2025,missing
F25_7,30/03/2025,killed
F56_13,07/04/2025,killed
F63_4,03/04/2025,killed
F27_10,30/03/2025,killed
F39_6,05/04/2025,killed
F49_8,05/04/2025,killed
F51_8,05/04/2025,killed
F56_16,08/04/2025,missing
F56_17,05/04/2025,killed
F46_1,04/04/2025,killed
F48_13,05/04/2025,killed
F64_3,05/04/2025,killed
F64_5,06/04/2025,missing
F48_17,27/03/2025,killed
F68_1,05/04/2025,killed
F68_12,05/04/2025,killed
F68_18,05/04/2025,killed
F49_2,06/04/2025,killed
F49_4,06/04/2025,killed
F52_7,27/03/2025,killed
F68_6,08/04/2025,killed
F56_8,06/04/2025,killed
F57_5,27/03/2025,killed
F69_3,05/04/2025,killed
F70_15,08/04/2025,killed
F70_9,05/04/2025,killed
F73_11,08/04/2025,dead
F73_13,05/04/2025,killed
F73_2,05/04/2025,killed
F73_3,05/04/2025,dead
F64_14,06/04/2025,killed
F74_20,06/04/2025,killed
F74_3,05/04/2025,killed
F74_6,05/04/2025,dead
F74_7,05/04/2025,killed
F67_10,05/04/2025,killed
F76_16,05/04/2025,killed
F70_7,08/04/2025,killed
F78_14,08/04/2025,killed
F78_16,08/04/2025,killed
F78_17,06/04/2025,dead
F78_18,06/04/2025,killed
F78_6,08/04/2025,killed
F68_19,06/04/2025,killed
F79_12,06/04/2025,killed
F48_20,01/04/2025,killed
F79_6,08/04/2025,killed
F86_13,08/04/2025,killed
F86_4,06/04/2025,dead
F93_9,08/04/2025,killed
F95_11,08/04/2025,killed
F68_3,06/04/2025,killed
F68_4,05/04/2025,killed
F96_7,05/04/2025,killed
F98_10,08/04/2025,killed
F98_13,08/04/2025,dead
F98_6,08/04/2025,killed
F68_9,06/04/2025,killed
F49_12,04/04/2025,killed
F144_6,09/04/2025,killed
F74_18,06/04/2025,killed
F152_11,09/04/2025,missing
F157_9,09/04/2025,killed
F49_14,04/04/2025,killed
F49_15,01/04/2025,killed
F49_9,04/04/2025,killed
F50_11,11/04/2025,killed
F50_7,01/04/2025,killed
F51_11,04/04/2025,killed
F78_4,09/04/2025,
F51_4,04/04/2025,killed
F78_7,09/04/2025,missing
F74_8,05/04/2025,killed
F76_4,04/04/2025,killed
F51_7,04/04/2025,killed
F52_1,01/04/2025,killed
F52_3,04/04/2025,killed
F78_9,06/04/2025,killed
F164_4,09/04/2025,killed
F79_13,09/04/2025,killed
F81_2,10/04/2025,killed
F78_5,09/04/2025,killed
F43_5,09/04/2025,dead
F56_11,01/04/2025,killed
F56_3,01/04/2025,killed
F56_5,07/04/2025,killed
F63_3,04/04/2025,killed
F63_9,01/04/2025,killed
F86_15,04/04/2025,killed
F64_12,09/04/2025,killed
F64_17,04/04/2025,killed
F180_8,09/04/2025,killed
F93_4,05/04/2025,killed
F63_1,NA,missing?
F64_2,10/04/2025,killed
F64_9,09/04/2025,killed
F170_6,10/04/2025,
F67_2,09/04/2025,killed
F67_5,04/04/2025,killed
F125_20,10/04/2025,dead
F68_16,09/04/2025,killed
F68_2,04/04/2025,killed
F68_7,09/04/2025,killed
F70_11,04/04/2025,killed
F70_14,11/04/2025,killed
F70_5,11/04/2025,killed
F73_14,04/04/2025,killed
F73_16,04/04/2025,killed
F176_16,10/04/2025,dead
F73_17,04/04/2025,killed
F73_6,04/04/2025,killed
F74_12,04/04/2025,killed
F74_13,10/04/2025,killed
F93_2,10/04/2025,dead
F103_11,10/04/2025,killed
F74_17,01/04/2025,killed
F76_10,01/04/2025,killed
F76_14,04/04/2025,killed
F76_5,01/04/2025,killed
F76_9,01/04/2025,killed
F78_10,10/04/2025,killed
F78_2,07/04/2025,killed
F79_2,10/04/2025,
F78_20,10/04/2025,killed
F95_10,09/04/2025,killed
F86_16,10/04/2025,
F78_8,09/04/2025,killed
F79_1,10/04/2025,killed
F79_2,06/04/2025,killed
F154_16,11/04/2025,missing
F79_3,11/04/2025,killed
F79_5,04/04/2025,killed
F79_9,07/04/2025,killed
F81_4,07/04/2025,killed
F86_17,07/04/2025,killed
F86_3,04/04/2025,killed
F86_6,01/04/2025,killed
F93_18,10/04/2025,killed
F93_5,04/04/2025,killed
F68_10,11/04/2025,killed
F93_6,07/04/2025,killed
F95_18,11/04/2025,killed
F37_1,11/04/2025,missing
F98_11,11/04/2025,killed
F98_12,10/04/2025,killed
F98_15,10/04/2025,killed
F98_20,11/04/2025,killed
F95_12,30/03/2025,killed
F98_2,07/04/2025,killed
F154_3,12/04/2025,killed
F70_12,12/04/2025,killed
F93_12,12/04/2025,killed
F175_20,12/04/2025,killed
F152_8,12/04/2025,killed
F159_5,12/04/2025,killed
F154_19,12/04/2025,killed
F175_1,12/04/2025,killed
F154_13,12/04/2025,killed
F154_20,12/04/2025,dead
F170_16,12/04/2025,killed
F154_8,12/04/2025,killed
F126_11,12/04/2025,killed
F70_13,12/04/2025,killed
F56_6,12/04/2025,killed
F176_9,12/04/2025,killed
F175_3,12/04/2025,killed
F93_15,12/04/2025,killed
F98_1,12/04/2025,killed
F154_15,12/04/2025,killed
F170_8,12/04/2025,killed
F118_10,12/04/2025,killed
F123_3,12/04/2025,dead
F56_15,12/04/2025,killed
F117_17,12/04/2025,killed
F126_1,12/04/2025,killed
F69_14,NA,missing
F140_17,13/04/2025,missing
F158_7,13/04/2025,killed
F154_17,13/04/2025,killed
F164_3,13/04/2025,killed
F152_3,13/04/2025,killed
F86_19,13/04/2025,killed
F180_11,13/04/2025,killed
F110_10,13/04/2025,killed
F176_8,13/04/2025,killed
F93_17,13/04/2025,killed
F170_3,13/04/2025,killed
F159_6,14/04/2025,killed
F93_13,14/04/2025,killed
F70_4,14/04/2025,killed
F125_12,14/04/2025,killed
F123_20,15/04/2025,killed
F154_5,15/04/2025,killed
F170_12,15/04/2025,killed
F139_1,15/04/2025,killed
F81_5,15/04/2025,alive
F175_4,15/04/2025,killed
F159_8,15/04/2025,killed
F70_20,16/04/2025,killed
F81_3,16/04/2025,alive
F176_20,16/04/2025,killed
F170_11,16/04/2025,alive
F180_5,16/04/2025,killed
F70_19,17/04/2025,alive
F105_5,17/04/2025,dead
F188_12,17/04/2025,killed
F154_9,18/04/2025,alive
F175_9,18/04/2025,dead
F180_12,19/04/2025,alive
F180_10,19/04/2025,alive
NA,20/04/2025,NA
NA,21/04/2025,NA
F117_5,22/04/2025,alive
F95_15,06/04/2025,killed
F73_5,07/04/2025,killed
F74_16,03/04/2025,killed
F96_17,07/04/2025,killed
F96_3,03/04/2025,killed
F96_8,03/04/2025,killed
F98_8,07/04/2025,killed
F95_2,06/04/2025,killed