site,date,sex,tree.id,trap.orientation,adult.id,dead.adult.storage.location,female.egg.laying.location,eggs.present,incubator,gwas,gwas.number,notes
WTH,13/11/2024,M,T13,S,M1,1MA1,n/a,n/a,n/a,n/a,n/a,
WTH,15/11/2024,F,T19,S,F1,1FA1,1tempA1,y,TRUE,TRUE,20,
WTH,18/11/2024,F,T4,S,F2,1FA2,1tempA2,y,FALSE,FALSE,n/a,green eggs
WTH,18/11/2024,F,17321,S,F3,1FA3,1tempA3,y,FALSE,FALSE,n/a,1 egg
WTH,18/11/2024,F,17321,S,F4,1FA4,1tempA4,n,FALSE,FALSE,n/a,no egg 
WTH,18/11/2024,F,T19,S,F5,1FA5,1tempA5,n,FALSE,FALSE,n/a,no egg 
WTH,20/11/2024,F,T17,S,F6,1FA6,1tempA6,n,FALSE,FALSE,n/a,
WTH,20/11/2024,F,T17,N,F7,1FA7,1tempA7,y,FALSE,FALSE,n/a,green eggs
WTH,20/11/2024,F,17321,S,F8,1FA8,1tempA8,y,FALSE,TRUE,20,
WTH,22/11/2024,F,14128,S,F9,1FA10,n/a,y,FALSE,FALSE,n/a,Not enough eggs
WTH,25/11/2024,M,T3,N,M2,1MA2,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,M,T4,S,M3,1MA3,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,M,14128,S,M4,1MA4,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,M,17321,S,M5,1MA5,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,M,T20,S,M6,1MA6,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,M,14128,N,M7,1MA7,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,M,T14,S,M8,1MA8,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,M,T20,S,M9,1MA9,n/a,n/a,n/a,n/a,n/a,
WTH,25/11/2024,F,T5,S,F10,1FB1,1TA1,y,FALSE,TRUE,10,
WTH,25/11/2024,F,17321,S,F11,1FB2,1TA2,y,FALSE,TRUE,16,
WTH,25/11/2024,F,17321,S,F12,1FF2,1TA3,Y,TRUE,FALSE,n/a,
WTH,25/11/2024,F,17321,S,F13,1FB3,1TA4,y,TRUE,FALSE,n/a,
WTH,25/11/2024,F,T11,N,F14,1FB4,1TA5,y,TRUE,FALSE,n/a,
WTH,25/11/2024,F,14128,N,F15,1FB5,1TA6,y,TRUE,TRUE,14,
WTH,25/11/2024,F,T13,S,F16,1FB6,1TA7,y,TRUE,FALSE,n/a,
WTH,25/11/2024,F,T18,N,F17,1FB7,1TA8,y,TRUE,TRUE,15,
WTH,25/11/2024,F,20729,S,F18,1FB8,1TA9,n,FALSE,FALSE,n/a,No eggs
WTH,25/11/2024,F,17321,S,F19,1FB9,1TA10,y,FALSE,TRUE,23,
WTH,25/11/2024,F,T19,N,F20,1FB10,1TB1,y,FALSE,TRUE,n/a,
WTH,25/11/2024,F,T14,S,F21,1FC1,1TB2,y,FALSE,TRUE,14,lost one ( was 15)
WTH,25/11/2024,F,T19,S,F22,1FF3,1TB3,y,TRUE,TRUE,20,
WTH,25/11/2024,F,T20,S,F23,1FC2,1TB4,y,TRUE,TRUE,20,
WTH,25/11/2024,F,T14,S,F24,1FC3,1TB5,n,FALSE,FALSE,n/a,
WTH,25/11/2024,F,T4,S,F25,1FC4,1TB6,y,TRUE,TRUE,20,
WTH,25/11/2024,F,T3,S,F26,1FC5,1TB7,y,TRUE,FALSE,,
WTH,25/11/2024,F,T4,S,F27,1FC6,1TB8,y,FALSE,TRUE,,
WTH,25/11/2024,F,T4,N,F28,1FC7,1TB9,n,FALSE,FALSE,,
WTH,25/11/2024,F,T4,S,F29,1FC8,1TB10,y,TRUE,FALSE,,0
WTH,25/11/2024,F,T4,S,F30,1FC9,1TC1,y,FALSE,FALSE,,7 eggs
WTH,25/11/2024,F,T9,N,F31,1FC10,1TC2,y,FALSE,FALSE,,6 eggs
WTH,25/11/2024,F,T7,S,F32,1FD1,1TC3,y,FALSE,FALSE,,8 eggs
WTH,25/11/2024,F,T4,S,F33,1FD2,1TC4,y,TRUE,FALSE,,0
WTH,25/11/2024,F,T4,S,F34,1FD3,1TC5,n,FALSE,FALSE,,2 eggs 
WTH,27/11/2024,M,T2,N,M10,1MA10,n/a,n/a,n/a,n/a,n/a,
WTH,27/11/2024,M,14128,N,M11,1MB1,n/a,n/a,n/a,n/a,n/a,
WTH,27/11/2024,F,14128,S,F35,1FD4,1TC6,y,FALSE,FALSE,,2 eggs 
WTH,27/11/2024,F,T1,S,F36,1FD4,1TC7,y,FALSE,FALSE,,green eggs
WTH,27/11/2024,F,T13,S,F37,1FD5,1TC8,y,TRUE,TRUE,20,
WTH,27/11/2024,F,14128,N,F38,1FD6,1TC9,y,TRUE,TRUE,20,
WTH,27/11/2024,F,T14,N,F39,1FD7,1TC10,y,TRUE,TRUE,15,
WTH,27/11/2024,F,T15,S,F40,1FA10,n/a,n,n/a,n/a,,
WTH,27/11/2024,F,T4,S,F41,1FF5,1TD1,y,TRUE,FALSE,,
WTH,27/11/2024,F,T17,N,F42,1FD8,1TD2,y,TRUE,TRUE,20,
WTH,29/11/2024,F,T4,S,F43,1FF6,1TD3,y,TRUE,TRUE,20,
WTH,29/11/2024,F,T4,S,F44,1FF7,1TD4,Y,TRUE,TRUE,20,
WTH,29/11/2024,F,T12,S,F45,1FD9 ( scarce umber),1TD5,y,n/a,n/a,,scarce umber 
WTH,29/11/2024,F,T14,S,F46,1FD10,1TD6,y,FALSE,TRUE,14,
WTH,29/11/2024,F,T20,S,F47,1FF8,1TD7,y,TRUE,FALSE,,0
WTH,29/11/2024,F,14128,N,F48,1FE1,1TD8,y,TRUE,TRUE,20,
WTH,29/11/2024,M,T20,S,M12,1MB2,n/a,n/a,n/a,n/a,,
WTH,29/11/2024,F,14128,N,F49,1FE2,1TD9,y,TRUE,TRUE,20,
WTH,29/11/2024,F,T13,S,F50,1FE3,1TD10,y,TRUE,TRUE,20,
WTH,29/11/2024,F,17321,S,F51,1FE4,1TE1,y,FALSE,TRUE,20,
WTH,29/11/2024,F,17321,S,F52,1FF9,1TE2,Y,FALSE,TRUE,20,
WTH,29/11/2024,M,17321,S,M13,1MB3,n/a,n/a,n/a,n/a,,
WTH,02/12/2024,F,T14,S,F53,1FF10,1TE3,y,TRUE,FALSE,,0
WTH,02/12/2024,F,T14,N,F54,1FG1,1TE4,y,FALSE,FALSE,,3 eggs
WTH,02/12/2024,F,T13,S,F55,1FE5,1TE5,n,FALSE,FALSE,,
WTH,02/12/2024,F,T20,S,F56,1FG2,1TE6,y,FALSE,TRUE,20,
WTH,02/12/2024,F,T6,S,F57,1FG3,1TE7,y,FALSE,TRUE,15,
WTH,02/12/2024,F,20729,N,F58,1FE6,1TE8,y,FALSE,FALSE,,all green
WTH,02/12/2024,F,17321,S,F59,1FG4,1TE9,y,FALSE,FALSE,,8 eggs
WTH,02/12/2024,F,T12,S,F60,1FE7,1TE10,y,TRUE,FALSE,,
WTH,02/12/2024,F,T14,N,F61,1FE8,2TA1,n,FALSE,FALSE,,0
WTH,02/12/2024,F,T7,S,F62,1FG5,2TA2,y,FALSE,FALSE,,6 eggs
WTH,02/12/2024,F,T5,N,F63,1FG6,2TA3,y,FALSE,TRUE,12,
WTH,02/12/2024,F,T7,N,F64,1FG7,2TA4,y,TRUE,TRUE,18,0
WTH,02/12/2024,F,T6,N,F65,1FG8,2TA5,n,FALSE,FALSE,,all green
WTH,02/12/2024,F,14128,N,F66,1FE9,2TA6,y,FALSE,FALSE,,6 eggs
WTH,02/12/2024,F,T3,S,F67,1FG9,2TA7,y,FALSE,TRUE,14,
WTH,02/12/2024,F,T3,S,F68,1FG10,2TA8,y,FALSE,TRUE,20,0
WTH,02/12/2024,F,T17,S,F69,1FH1,2TA9,y,FALSE,TRUE,20,
WTH,02/12/2024,M,T11,S,M14,1MB4,n/a,,n/a,n/a,n/a,
WTH,02/12/2024,M,14128,N,M15,1MB5,n/a,,n/a,n/a,n/a,
WTH,02/12/2024,M,14128,N,M16,1MB6,n/a,,n/a,n/a,n/a,
WTH,02/12/2024,M,17321,S,M17,1MB7,n/a,,n/a,n/a,n/a,
WTH,02/12/2024,M,17321,S,M18,1MB8,n/a,,n/a,n/a,n/a,
WTH,04/12/2024,F,T2,N,F70,1FH2,2TA10,y,TRUE,TRUE,20,
WTH,04/12/2024,F,T3,S,F71,1FE10,2TB1,n,FALSE,FALSE,,
WTH,04/12/2024,F,T3,S,F72,1FH3,2TB2,n,FALSE,FALSE,,
WTH,04/12/2024,F,T4,S,F73,1FH4,2TB3,y,FALSE,TRUE,17,
WTH,04/12/2024,F,T4,S,F74,1FH5,2TB4,y,TRUE,TRUE,20,
WTH,04/12/2024,F,14128,N,F75,1FH6,2TB5,y,FALSE,FALSE,,8 eggs
WTH,04/12/2024,F,T14,S,F76,1FH7,2TB6,y,FALSE,TRUE,19,0
WTH,04/12/2024,F,T17,N,F77,1FF1,2TB7,n,FALSE,FALSE,,mould
WTH,06/12/2024,F,T3,N,F78,1FH8,2TB8,y,TRUE,TRUE,20,
WTH,06/12/2024,F,T3,N,F79,1FH9,2TB9,y,FALSE,TRUE,14,0
WTH,06/12/2024,F,T3,N,F80,1FH10,2TB10,n,FALSE,FALSE,,
WTH,06/12/2024,F,T3,N,F81,1FI1,2TC1,y,FALSE,TRUE,10,0
WTH,06/12/2024,F,T3,S,F82,1FI2,2TC2,n,FALSE,FALSE,,
WTH,06/12/2024,F,T3,S,F83,1FI3,2TC3,y,FALSE,FALSE,,4 eggs
WTH,06/12/2024,F,T3,S,F84,1FI4,2TC4,y,TRUE,FALSE,,0
WTH,06/12/2024,F,T3,S,F85,1FI5,2TC5,y,FALSE,FALSE,,7 eggs
WTH,06/12/2024,F,T3,S,F86,1FI6,2TC6,y,TRUE,TRUE,20,
WTH,06/12/2024,F,T3,S,F87,1FI7,2TC7,y,FALSE,FALSE,,7 eggs
WTH,06/12/2024,F,T3,S,F88,1FI8,2TC8,y,TRUE,FALSE,,0
WTH,06/12/2024,F,T4,S,F89,1FI9,2TC9,y,TRUE,FALSE,,9 eggs
WTH,06/12/2024,F,T4,S,F90,1FI10,2TC10,y,FALSE,FALSE,,3 eggs
WTH,06/12/2024,F,T4,S,F91,1FJ1,2TD1,y,FALSE,FALSE,,1 egg
WTH,06/12/2024,F,T4,S,F92,1FJ2,2TD2,y,TRUE,FALSE,,0
WTH,06/12/2024,F,T4,S,F93,1FJ3,2TD3,y,FALSE,TRUE,20,0
WTH,06/12/2024,F,T6,N,F94,1FJ4,2TD4,y,TRUE,FALSE,,0
WTH,06/12/2024,F,T8,S,F95,1FJ5,2TD5,y,FALSE,TRUE,20,
WTH,06/12/2024,F,T9,S,F96,1FJ6,2TD6,y,TRUE,TRUE,15,0
WTH,06/12/2024,F,20729,S,F97,1FJ7,2TD7, n,n/a,n/a,,0
WTH,06/12/2024,F,20708,N,F98,1FJ8,2TD8,y,TRUE,TRUE,20,
WTH,06/12/2024,F,17321,S,F99,1FJ9,2TD9,y,FALSE,FALSE,,5 eggs
WTH,06/12/2024,F,17321,S,F100,1FJ10,2TD10,y,FALSE,FALSE,,2 eggs 
WTH,06/12/2024,F,14128,N,F101,2FA1,2TE1,y,FALSE,TRUE,20,
WTH,06/12/2024,F,14128,N,F102,2FA2,2TE2,y,TRUE,FALSE,,0
WTH,06/12/2024,F,14128,N,F103,2FA3,2TE3,y,TRUE,TRUE,20,
WTH,06/12/2024,F,14128,N,F104,2FA4,2TE4,y,TRUE,FALSE,,0
WTH,06/12/2024,F,14128,S,F105,2FA5,2TE5,y,FALSE,TRUE,11,0
WTH,06/12/2024,F,14128,S,F106,2FA6,2TE6,y,TRUE,FALSE,,
WTH,06/12/2024,F,14128,S,F107,2FA7,2TE7,y,FALSE,TRUE,19,0
WTH,06/12/2024,F,14128,S,F108,2FA8,2TE8,n,FALSE,FALSE,,0
WTH,06/12/2024,F,T11,N,F109,2FA9,2TE9,y,FALSE,FALSE,,1
WTH,06/12/2024,F,T11,S,F110,2FB1,2TE10,y,TRUE,TRUE,20,
WTH,06/12/2024,F,T14,S,F111,2FB2,3TA1,y,TRUE,FALSE,,0
WTH,06/12/2024,F,T14,S,F112,2FB3,3TA2,y,FALSE,TRUE,17,0
WTH,06/12/2024,F,T14,S,F113,2FB4,3TA3,y,TRUE,FALSE,,0
WTH,06/12/2024,F,T14,S,F114,2FB5,3TA4,y,TRUE,TRUE,20,0
WTH,06/12/2024,F,T14,N,F115,2FB6,3TA5,n,FALSE,FALSE,,
WTH,06/12/2024,F,T14,N,F116,2FB7,3TA6,y,FALSE,TRUE,10,
WTH,06/12/2024,F,T14,N,F117,2FB8,3TA7,y,TRUE,TRUE,20,
WTH,06/12/2024,F,T14,N,F118,2FB9,3TA8,y,TRUE,TRUE,20,
WTH,06/12/2024,F,T14,N,F119,2FC1,3TA9,n,FALSE,FALSE,,
WTH,06/12/2024,F,T14,S,F120,2FC2,3TA10,n,FALSE,FALSE,,
WTH,06/12/2024,F,T14,S,F121,2FC3,3TB1,y,TRUE,TRUE,14,0
WTH,06/12/2024,F,T15,N,F122,2FC4,3TB2,n,FALSE,FALSE,,no eggs
WTH,06/12/2024,F,T13,S,F123,2FC5,3TB3,y,TRUE,TRUE,20,
WTH,06/12/2024,F,T12,S,F124,2FC6,3TB4,y,FALSE,TRUE,16,0
WTH,06/12/2024,F,T12,S,F125,2FC7,3TB5,y,FALSE,TRUE,20,2 eggs left
WTH,06/12/2024,F,T12,S,F126,2FC8,3TB6,y,FALSE,TRUE,20,0
WTH,06/12/2024,F,T12,S,F127,2FC9,3TB7,y,TRUE,FALSE,,0
WTH,06/12/2024,F,T12,N,F128,2FD1,3TB8,y,FALSE,FALSE,,3 eggs
WTH,06/12/2024,F,T20,S,F129,2FD2,3TB9,n,FALSE,FALSE,,mould
WTH,06/12/2024,F,T20,S,F130,2FD3,3TB10,y,TRUE,FALSE,,0
WTH,06/12/2024,M,14128,S,M19,1MB9,n/a,,n/a,n/a,n/a,
WTH,06/12/2024,M,14128,S,M20,1MB10,n/a,,n/a,n/a,n/a,
WTH,06/12/2024,M,14128,S,M21,1MC1,n/a,,n/a,n/a,n/a,
WTH,06/12/2024,M,T12,S,M22,1MC2,n/a,,n/a,n/a,n/a,
WTH,06/12/2024,M,T7,S,M23,1MC3,n/a,,n/a,n/a,n/a,
WTH,06/12/2024,M,T3,N,M24,1MC4,n/a,,n/a,n/a,n/a,
WTH,06/12/2024,M,T16,N,M25,1MC5,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,F,T4,S,F131,2FD4,3TC1,y,FALSE,FALSE,,4 eggs
WTH,09/12/2024,F,T4,N,F132,2FD5,3TC2,y,FALSE,FALSE,,7 eggs
WTH,09/12/2024,F,T3,S,F133,2FD6,3TC3,y,FALSE,TRUE,12,0
WTH,09/12/2024,F,T3,S,F134,2FD7,3TC4,y,FALSE,FALSE,,4 eggs
WTH,09/12/2024,F,T12,S,F135,2FD8,3TC5,,FALSE,TRUE,20,
WTH,09/12/2024,F,T12,S,F136,2FD9,3TC6,y,FALSE,TRUE,10,0
WTH,09/12/2024,F,T12,S,F137,2FE1,3TC7,n,FALSE,FALSE,,
WTH,09/12/2024,F,T13,S,F138,2FE2,3TC8,y,TRUE,TRUE,20,
WTH,09/12/2024,F,T13,S,F139,2FE3,3TC9,y,TRUE,TRUE,20,
WTH,09/12/2024,F,T14,N,F140,2FE4,3TC10,y,FALSE,TRUE,20,
WTH,09/12/2024,F,T16,S,F141,2FE5,3TD1,n,FALSE,FALSE,,
WTH,09/12/2024,F,T11,N,F142,2FE6,3TD2,y,TRUE,FALSE,,0
WTH,09/12/2024,F,14128,N,F143,2FE7,3TD3,,FALSE ,FALSE,,"weird female (less dark), 1 egg"
WTH,09/12/2024,M,T3,S,M26,1MC6,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,M,T4,S,M27,1MC7,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,M,T14,S,M28,1MC8,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,M,T14,S,M29,1MC9,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,M,T14,S,M30,1MC10,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,M,T20,S,M31,1MD1,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,M,14128,N,M32,1MD2,n/a,,n/a,n/a,n/a,
WTH,09/12/2024,M,14128,N,M33,1MD3,n/a,,n/a,n/a,n/a,
WTH,11/12/2024,F,T3,S,F144,2FE8,3TD4,y,FALSE,TRUE,11,0
WTH,11/12/2024,F,T3,S,F145,2FE9,3TD5,y,TRUE,TRUE,20,
WTH,11/12/2024,F,T8,S,F146,2FF1,3TD6,y,TRUE,FALSE,,0
WTH,11/12/2024,F,T12,N,F147,2FF2,3TD7,n,FALSE ,FALSE,,
WTH,11/12/2024,F,T14,S,F148,2FF3,3TD8,y,TRUE,TRUE,20,
WTH,11/12/2024,F,T14,N,F149,2FF4,3TD9,y,FALSE,FALSE,,4
WTH,11/12/2024,F,T15,N,F150,2FF5,3TD10,,TRUE,FALSE,,0
WTH,11/12/2024,F,T20,S,F151,2FF6,3TE1,y,TRUE,FALSE,,0
WTH,11/12/2024,F,T20,S,F152,2FF7,3TE2,y,TRUE,TRUE,20,
WTH,11/12/2024,M,T19,S,M34,1MD4,n/a,,n/a,n/a,n/a,
WTH,11/12/2024,M,20708,N,M35,1MD5,n/a,,n/a,n/a,n/a,
WTH,11/12/2024,M,T12,S,M36,1MD6,n/a,,n/a,n/a,n/a,
WTH,11/12/2024,F,17321,S,n/a,n/a,n/a,,n/a,n/a,n/a,given to Lionel
WTH,11/12/2024,F,14128,S,n/a,n/a,n/a,,n/a,n/a,n/a,given to Lionel
WTH,11/12/2024,F,17321,S,n/a,n/a,n/a,,n/a,n/a,n/a,given to Lionel
WTH,13/12/2024,F,T3,S,F153,2FF8,3TE3,y,TRUE,TRUE,20,
WTH,13/12/2024,F,T3,S,F154,2FF9,3TE4,,TRUE,TRUE,20,
WTH,13/12/2024,F,T3,S,F155,2FG1,3TE5,y,TRUE,FALSE,,0
WTH,13/12/2024,F,T5,S,F156,2FG2,3TE6,n,FALSE ,FALSE,,
WTH,13/12/2024,F,T5,S,F157,2FG3,3TE7,y,TRUE,TRUE,20,
WTH,13/12/2024,F,T8,S,F158,2FG4,3TE8,y,TRUE,TRUE,20,
WTH,13/12/2024,F,T11,N,F159,2FG5,3TE9,y,TRUE,TRUE,10,"enough eggs for 20, saving pots"
WTH,13/12/2024,F,T12,N,F160,2FG6,3TE10,y,TRUE,TRUE,10,"enough eggs for 20, saving pots"
WTH,13/12/2024,F,T12,N,F161,2FG7,4TA1,y,TRUE,TRUE,10,"enough eggs for 20, saving pots"
WTH,13/12/2024,F,T13,S,F162,2FG8,4TA2,y,TRUE,FALSE,,0
WTH,13/12/2024,F,T13,S,F163,2FG9,4TA3,Y,FALSE ,FALSE,,8 eggs
WTH,13/12/2024,F,T14,S,F164,2FH1,4TA4,y,TRUE,TRUE,10,"enough eggs for 20, saving pots"
WTH,13/12/2024,F,T14,S,F165,2FH2,4TA5,y,FALSE,TRUE,10,13 eggs but saving pots
WTH,13/12/2024,F,T16,N,F166,2FH3,4TA6,y,FALSE,FALSE,,1 eggs
WTH,13/12/2024,F,T16,N,F167,2FH4,4TA7,y,TRUE,TRUE,10,"enough eggs for 20, saving pots"
WTH,13/12/2024,F,T19,S,F168,2FH5,4TA8,y,TRUE,FALSE,,0
WTH,13/12/2024,M,T11,S,M37,1MD7,n/a,,n/a,n/a,n/a,
WTH,13/12/2024,M,T11,S,M38,1MD8,n/a,,n/a,n/a,n/a,
WTH,13/12/2024,M,T11,S,M39,1MD9,n/a,,n/a,n/a,n/a,
WTH,13/12/2024,M,T11,S,M40,1MD10,n/a,,n/a,n/a,n/a,
WTH,13/12/2024,M,T14,S,M41,1ME1,n/a,,n/a,n/a,n/a,
WTH,16/12/2024,F,14128,N,n/a,n/a,n/a,,n/a,n/a,n/a,Lionel
WTH,16/12/2024,F,14128,N,n/a,n/a,n/a,,n/a,n/a,n/a,Lionel
WTH,16/12/2024,F,17321,S,n/a,n/a,n/a,,n/a,n/a,n/a,Lionel
WTH,16/12/2024,F,17321,S,n/a,n/a,n/a,,n/a,n/a,n/a,Lionel
WTH,16/12/2024,F,T1,S,F169,2FH6,4TA9,n,FALSE ,FALSE,,
WTH,16/12/2024,F,T3,S,F170,2FH7,4TA10,y,TRUE,TRUE,18,0
WTH,16/12/2024,F,T4,S,F171,2FH8,4TB1,n,FALSE ,FALSE,,
WTH,16/12/2024,F,T4,N,F172,2FH9,4TB2,n,FALSE ,FALSE,,
WTH,16/12/2024,F,T5,N,F173,2FI1,4TB3,n,FALSE ,FALSE,,
WTH,16/12/2024,F,T7,N,F174,2FI2,4TB4,n,FALSE ,FALSE,,
WTH,16/12/2024,F,T14,S,F175,2FI3,4TB5,y,FALSE ,TRUE,20,4 eggs left
WTH,16/12/2024,M,T13,S,M42,1ME2,n/a,n/a,n/a,n/a,,
WTH,16/12/2024,M,T19,N,M43,1ME3,n/a,n/a,n/a,n/a,,
WTH,16/12/2024,M,20708,S,M44,1ME4,n/a,n/a,n/a,n/a,,
WTH,16/12/2024,M,14128,N,M45,1ME5,n/a,n/a,n/a,n/a,,
WTH,16/12/2024,M,14128,N,M46,1ME6,n/a,n/a,n/a,n/a,,
WTH,16/12/2024,M,14128,N,M47,1ME7,n/a,n/a,n/a,n/a,,
WTH,18/12/2024,F,T3,S,F176,2FI4,4TB6,y,TRUE,TRUE,20,
WTH,18/12/2024,F,T4,S,F177,2FI5,4TB7,n,FALSE ,FALSE,,
WTH,18/12/2024,F,T11,N,F178,2FI6,4TB8,y,FALSE ,FALSE,,3 eggs
WTH,18/12/2024,F,T12,S,F179,2FI7,4TB9,y,TRUE,FALSE,,0
WTH,18/12/2024,F,T14,N,F180,2FI8,4TB10,y,FALSE ,TRUE,14,
WTH,18/12/2024,F,T17,S,F181,2FI9,4TC1,n,FALSE ,FALSE,,
WTH,18/12/2024,F,T18,N,F182,3FA1,4TC2,n,FALSE ,FALSE,,
WTH,18/12/2024,F,T20,S,F185,3FA2,4TC3,n,FALSE ,FALSE,,
WTH,18/12/2024,M,T12,N,M48,1ME8,n/a,n/a,n/a,n/a,n/a,
WTH,18/12/2024,F,17321,S,F183,2FJ3,n/a,n/a,n/a,n/a,n/a,Lionel
WTH,18/12/2024,F,17321,S,F184,3FA3,n/a,n/a,n/a,n/a,n/a,Lionel
WTH,18/12/2024,F,14128,S,F186,3FA4,n/a,n/a,n/a,n/a,n/a,Lionel
WTH,20/12/2024,F,T17,N,F187,3FA5,4TC4,n,FALSE ,FALSE,,
WTH,20/12/2024,F,T19,N,F188,3FA6,4TC5,y,FALSE ,TRUE,12,0
WTH,20/12/2024,M,T1,N,M49,1ME9,n/a,n/a,n/a,n/a,n/a,
WTH,20/12/2024,M,17321,S,M50,1ME10,n/a,n/a,n/a,n/a,n/a,